"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"1884","PHA","978","4152","26","700","124","","3.7%","",".112","",".267",".301",".379",".310","","110","0.0","62.6","14.9","19.9"
"1984","STL","2221","6091","75","652","610","220","8.5%","15.2%",".099",".289",".252",".317",".351",".302","","89","15.6","-61.0","51.5","19.9"
"1995","BAL","1566","5531","173","704","668","92","10.4%","14.5%",".166",".280",".262",".342",".428",".340","","99","-2.6","-9.6","23.8","19.9"
"1944","CIN","1671","5820","51","573","528","51","7.3%","6.7%",".084",".267",".254",".313",".338",".311","","85","7.0","-92.7","109.7","19.9"
"1959","CHC","1998","5939","163","673","635","32","8.4%","15.3%",".148",".272",".249",".317",".398",".316","","89","0.7","-81.5","70.5","19.9"
"1983","OAK","1942","6188","121","708","662","235","8.5%","14.1%",".119",".289",".262",".326",".381",".317","","99","7.2","2.7","-14.3","19.9"
"1891","BSN","1289","5571","53","847","708","289","9.6%","9.6%",".101",".277",".255",".337",".356",".340","","98","4.1","-12.2","26.1","19.9"
"1891","BRO","1266","5249","23","765","603","337","8.9%","8.3%",".086",".282",".260",".330",".345",".331","","101","17.9","29.2","1.3","19.9"
"1913","CLE","1645","5712","16","632","527","191","7.4%","9.8%",".080",".299",".268",".331",".348",".329","","95","-2.8","-35.2","40.6","19.9"
"1966","STL","2062","5963","108","571","533","144","5.8%","16.4%",".117",".286",".251",".298",".368",".293","","85","8.6","-99.4","86.5","19.9"
"1939","NYG","1727","5767","116","703","651","26","8.6%","8.7%",".124",".283",".272",".340",".396",".342","","96","2.7","-23.6","47.7","19.9"
"1997","COL","2232","6338","239","923","869","137","8.9%","16.7%",".190",".316",".288",".357",".478",".363","","95","-0.1","-43.3","43.5","19.9"
"1918","CHC","1355","4900","21","538","438","159","7.3%","7.0%",".077",".284",".265",".325",".342",".328","","101","5.9","10.6","13.2","19.9"
"1962","DET","2028","6234","209","758","719","69","10.4%","14.3%",".163",".260",".248",".330",".411",".331","","98","6.0","-10.5","24.3","19.9"
"1970","ATL","1981","6202","160","736","692","58","8.4%","11.9%",".134",".285",".270",".334",".404",".329","","94","0.1","-47.6","26.7","19.8"
"1900","PHI","1337","5594","29","810","694","205","7.9%","",".088","",".290",".356",".378",".353","","104","-4.8","23.9","-17.4","19.8"
"2006","CIN","2335","6296","217","749","718","124","9.8%","18.9%",".175",".290",".257",".336",".432",".332","","94","16.4","-36.5","31.1","19.8"
"1924","STL","1755","5909","67","740","672","86","6.5%","7.1%",".121",".305",".290",".341",".411",".349","","100","-5.8","-3.3","10.0","19.8"
"1967","ATL","2058","6088","158","631","596","55","8.4%","15.6%",".133",".262",".240",".307",".372",".305","","94","-2.1","-40.4","10.9","19.8"
"2011","KCR","2134","6267","129","730","705","153","7.1%","16.1%",".140",".311",".275",".329",".415",".325","","101","0.7","4.5","-25.3","19.8"
"1991","TOR","1753","6167","133","684","649","148","8.1%","16.9%",".143",".292",".257",".322",".400",".322","","98","8.5","-9.7","3.0","19.8"
"1978","MIN","1812","6326","82","666","621","99","9.5%","10.8%",".108",".289",".267",".339",".375",".325","","100","-0.9","-2.3","-15.5","19.8"
"1983","LAD","2238","6130","146","654","613","166","8.8%","15.1%",".129",".275",".250",".318",".379",".312","","96","2.2","-25.8","16.3","19.8"
"1945","WAS","1686","6007","27","622","569","110","9.1%","8.1%",".076",".280",".258",".330",".334",".321","","97","-6.5","-26.8","26.2","19.8"
"1939","CLE","1759","6006","85","797","730","72","9.3%","9.5%",".132",".302",".280",".350",".413",".352","","96","-8.3","-41.4","25.5","19.8"
"1997","LAD","2171","6216","174","742","706","131","8.0%","17.4%",".150",".304",".268",".330",".418",".328","","100","-1.0","-0.5","4.4","19.7"
"1974","MIN","1878","6304","111","673","632","74","8.2%","12.5%",".106",".297",".272",".336",".378",".328","","104","-1.0","23.5","-41.8","19.7"
"1994","CLE","1189","4493","167","679","647","131","8.5%","14.0%",".194",".306",".290",".351",".484",".359","","111","5.1","71.2","-19.8","19.7"
"1932","PIT","1695","5906","48","701","653","71","6.1%","6.5%",".110",".300",".285",".333",".395",".332","","95","13.1","-25.7","40.0","19.7"
"2006","SEA","2259","6213","172","756","703","106","6.5%","15.7%",".153",".300",".272",".325",".424",".322","","95","4.0","-37.6","26.5","19.7"
"1941","SLB","1787","6285","91","765","729","50","12.3%","8.8%",".124",".283",".266",".360",".390",".354","","96","-9.1","-42.5","9.0","19.7"
"1911","STL","1680","5970","26","671","567","175","9.9%","10.9%",".087",".285",".252",".337",".340",".332","","92","-8.8","-69.5","68.2","19.7"
"2017","ARI","2360","6224","220","812","776","103","9.3%","23.4%",".190",".306",".254",".329",".445",".329","","95","12.4","-27.9","21.1","19.7"
"2000","DET","1938","6343","177","823","785","83","8.9%","15.5%",".163",".303",".275",".343",".438",".341","","100","-0.1","-0.3","-15.3","19.7"
"1890","NYK","1236","5430","66","1018","793","231","9.0%","6.7%",".121",".296",".284",".352",".405",".363","","96","-13.2","-55.0","26.2","19.7"
"1989","HOU","2210","6200","97","647","598","144","8.5%","13.9%",".106",".265",".239",".306",".345",".295","","90","2.4","-62.7","56.3","19.7"
"2006","HOU","2393","6326","174","735","708","79","9.2%","17.0%",".154",".286",".255",".332",".409",".322","","90","5.7","-82.5","74.7","19.7"
"1914","BKF","1669","5805","42","662","573","220","7.0%","10.2%",".100",".297",".269",".326",".368",".336","","97","26.8","3.8","-15.6","19.7"
"2013","TEX","2321","6196","176","730","691","149","7.5%","17.2%",".150",".294",".262",".323",".412",".323","","97","2.0","-22.5","3.9","19.7"
"1962","CHW","2071","6297","92","707","662","76","9.8%","10.7%",".116",".276",".257",".334",".372",".319","","93","-0.3","-52.5","63.9","19.7"
"1999","OAK","1928","6442","235","893","845","70","12.0%","17.5%",".187",".285",".259",".355",".446",".351","","106","-2.6","52.4","-67.3","19.7"
"1913","PHI","1827","6001","73","693","597","156","6.4%","9.6%",".117",".286",".265",".318",".382",".336","","94","-7.6","-48.5","26.5","19.7"
"1957","BAL","2031","5966","87","597","557","57","8.4%","11.6%",".101",".273",".252",".318",".353",".302","","89","1.9","-73.7","82.2","19.7"
"1979","NYY","1762","6061","150","734","694","65","8.4%","9.7%",".139",".273",".266",".328",".406",".326","","99","-3.7","-10.2","2.8","19.7"
"1929","PHI","1834","6216","153","897","841","59","9.2%","7.6%",".158",".317",".309",".377",".467",".383","","100","9.2","10.0","-7.3","19.7"
"1886","NYG","1133","4535","21","692","527","155","5.2%","9.0%",".087",".294",".269",".307",".356",".313","","104","-6.4","22.5","12.9","19.7"
"1926","DET","1881","6182","36","793","717","88","9.7%","6.8%",".107",".311",".291",".366",".398",".361","","99","-15.5","-23.5","-4.7","19.6"
"1924","BRO","1618","5951","72","717","662","34","7.5%","6.0%",".103",".298",".287",".345",".391",".345","","100","2.0","0.1","4.0","19.6"
"2021","CIN","2472","6162","222","786","756","36","9.0%","23.1%",".182",".296",".249",".328",".431",".327","","98","-15.1","-28.9","21.0","19.6"
"1874","BSN","640","3163","17","735","495","45","1.0%","0.9%",".094",".312",".313",".320",".407",".329","","120","-0.2","113.4","14.7","19.6"
"1926","NYG","1780","5667","73","663","617","94","6.0%","7.4%",".106",".291",".278",".325",".384",".331","","92","16.3","-41.5","67.3","19.6"
"1987","PHI","2289","6190","169","702","662","111","9.5%","17.9%",".157",".288",".254",".327",".410",".322","","91","-1.1","-72.8","57.9","19.6"
"2015","TBR","2479","6071","167","644","612","87","7.2%","21.6%",".154",".300",".252",".314",".406",".313","","100","-13.4","-16.2","2.5","19.6"
"1963","BOS","1924","6145","171","666","623","27","7.7%","15.5%",".149",".275",".252",".312",".400",".317","","94","1.2","-41.3","59.2","19.6"
"2011","LAD","2304","6094","117","644","613","126","8.2%","17.8%",".118",".299",".257",".322",".375",".307","","95","10.2","-24.6","24.3","19.6"
"2005","LAA","2234","6186","147","761","726","161","7.2%","13.7%",".139",".294",".270",".325",".409",".319","","96","3.3","-30.8","17.0","19.6"
"1962","PHI","2112","6131","142","705","658","79","8.7%","15.1%",".130",".288",".260",".330",".390",".322","","94","-0.5","-49.7","32.4","19.6"
"1972","CHC","1882","5950","133","685","634","69","9.5%","13.7%",".131",".279",".257",".330",".387",".325","","95","-1.5","-35.6","8.0","19.5"
"1995","FLA","1892","5569","144","673","636","131","9.3%","16.4%",".144",".293",".262",".335",".406",".328","","95","1.7","-30.6","41.3","19.5"
"1912","WAS","1559","5726","20","698","575","274","8.2%","",".086","",".256",".324",".341",".323","","90","14.6","-54.8","56.8","19.5"
"1992","MIL","1644","6183","82","740","683","256","8.3%","12.6%",".107",".296",".268",".330",".375",".319","","98","5.7","-6.2","-5.9","19.5"
"1893","BSN","1210","5285","65","1008","828","243","10.6%","5.5%",".101",".299",".290",".372",".391",".370","","99","0.1","-8.7","27.9","19.5"
"2017","CIN","2321","6213","219","753","715","120","9.1%","21.4%",".179",".294",".253",".329",".433",".325","","95","-5.3","-47.4","38.7","19.5"
"2009","CIN","2314","6187","158","673","637","96","8.6%","18.2%",".147",".282",".247",".318",".394",".313","","84","5.2","-118.5","119.4","19.5"
"2009","TOR","2202","6362","209","798","766","73","8.6%","16.2%",".174",".290",".266",".333",".440",".337","","101","12.2","21.5","-50.0","19.5"
"2006","WSN","2430","6283","164","746","695","123","9.5%","18.4%",".156",".301",".262",".338",".418",".327","","96","3.3","-27.3","18.8","19.5"
"1985","MIN","1804","6128","141","705","678","68","8.2%","12.7%",".143",".283",".264",".326",".407",".325","","97","-5.8","-30.7","19.7","19.5"
"1991","LAD","2229","6159","108","665","605","126","9.5%","15.5%",".106",".287",".253",".326",".359",".310","","97","-1.9","-23.0","9.4","19.5"
"1906","NYH","1565","5661","17","641","528","192","5.8%","",".073","",".266",".316",".339",".321","","97","-0.4","-20.4","7.3","19.4"
"1889","COL","1293","5365","36","779","617","304","9.5%","11.4%",".097",".290",".259",".335",".356",".334","","103","-0.7","25.3","-11.2","19.4"
"1920","BRO","1671","5966","28","660","566","70","6.0%","6.6%",".090",".294",".277",".324",".367",".326","","97","-0.8","-23.6","20.5","19.4"
"1942","CHC","1794","5988","75","591","533","63","8.5%","10.1%",".099",".275",".254",".321",".353",".323","","98","9.8","-0.5","9.4","19.4"
"1984","NYM","2135","6066","107","652","607","149","8.2%","16.5%",".111",".295",".257",".320",".369",".308","","95","8.1","-26.5","10.8","19.4"
"1916","PHI","1643","5597","42","581","486","149","7.1%","10.2%",".091",".275",".250",".310",".341",".317","","97","-12.1","-30.7","25.3","19.4"
"1965","BOS","2005","6220","165","669","629","47","9.8%","15.5%",".149",".276",".251",".327",".400",".325","","99","0.6","-7.6","-1.6","19.4"
"2013","KCR","2236","6093","112","648","620","153","6.9%","17.2%",".119",".300",".260",".315",".379",".305","","89","18.2","-57.4","39.6","19.4"
"2012","OAK","2247","6183","195","713","676","122","8.9%","22.4%",".166",".281",".238",".310",".404",".311","","97","19.4","0.3","-24.4","19.4"
"2013","ARI","2349","6334","130","685","647","62","8.2%","18.0%",".133",".301",".259",".323",".391",".314","","93","-18.5","-69.4","59.4","19.4"
"1890","PHI","1208","5293","23","823","631","335","9.9%","7.6%",".095",".291",".269",".350",".364",".349","","105","8.0","44.5","-0.2","19.4"
"2005","MIL","2226","6156","175","726","689","79","8.6%","18.9%",".163",".298",".259",".331",".423",".327","","95","-5.2","-44.4","37.3","19.4"
"1892","NYG","1408","5835","39","811","645","301","8.7%","8.1%",".087",".269",".251",".320",".338",".322","","101","7.0","16.2","-27.4","19.4"
"2018","ARI","2409","6157","176","693","658","79","9.1%","23.7%",".162",".286",".235",".310",".397",".306","","88","7.1","-85.3","79.2","19.4"
"1919","BOS","1453","5254","33","565","494","108","9.0%","7.8%",".083",".281",".261",".336",".344",".330","","95","-6.0","-35.3","28.9","19.4"
"1996","MIL","1803","6434","178","894","845","101","9.7%","15.3%",".162",".308",".279",".353",".441",".348","","97","-3.1","-25.8","-13.2","19.4"
"2008","MIN","2287","6331","111","829","791","102","8.4%","15.5%",".129",".316",".279",".340",".408",".328","","99","12.3","4.7","-30.5","19.3"
"1897","CLE","1214","5175","16","773","663","181","8.4%","",".090","",".298",".364",".389",".361","","99","-9.5","-13.9","33.6","19.3"
"1958","DET","1919","5805","109","659","612","48","8.0%","11.7%",".123",".286",".266",".326",".389",".318","","93","0.4","-50.1","56.0","19.3"
"2009","FLA","2394","6312","159","772","727","75","9.0%","19.4%",".148",".316",".268",".340",".416",".332","","97","4.5","-16.7","12.0","19.3"
"1974","ATL","2078","6279","120","661","599","72","9.1%","12.3%",".115",".268",".249",".319",".363",".312","","85","-1.2","-108.9","96.7","19.3"
"1993","PIT","2160","6269","110","707","664","92","8.6%","15.5%",".126",".304",".267",".335",".393",".324","","95","-3.1","-46.1","17.4","19.3"
"1884","CIN","1011","4296","36","754","495","","3.6%","",".100","",".254",".289",".354",".294","","104","0.0","27.9","35.8","19.3"
"1987","CAL","1765","6301","172","770","709","125","9.4%","14.7%",".148",".274",".252",".326",".401",".319","","95","3.7","-39.1","19.4","19.3"
"1913","DET","1659","5769","24","624","519","218","8.6%","8.7%",".090",".291",".265",".336",".355",".335","","100","1.1","-1.6","-3.7","19.3"
"1964","LAD","2050","6120","79","614","555","141","7.2%","14.6%",".090",".284",".250",".305",".340",".288","","89","7.4","-71.8","40.8","19.3"
"1946","NYG","1931","5834","121","612","576","46","9.1%","9.4%",".118",".266",".255",".328",".374",".334","","96","6.1","-18.4","28.4","19.3"
"1894","PIT","1243","5178","48","955","803","256","8.4%","4.0%",".131",".319",".312",".379",".443",".381","","100","1.0","2.9","25.1","19.3"
"2006","CHW","2286","6318","236","868","839","93","7.9%","16.7%",".184",".305",".280",".342",".464",".346","","103","-8.4","14.4","-34.1","19.3"
"1913","BRO","1682","5704","39","595","502","188","6.3%","9.7%",".093",".296",".270",".321",".363",".329","","92","-1.9","-53.1","38.2","19.2"
"2021","WSN","2386","6113","182","724","686","56","9.4%","21.3%",".159",".307",".258",".337",".417",".326","","101","-25.4","-19.5","9.3","19.2"
"1976","STL","2156","6182","63","629","584","123","8.3%","13.9%",".099",".295",".260",".323",".359",".313","","93","2.6","-49.0","25.6","19.2"
"1964","CIN","1937","6153","130","660","605","90","7.4%","15.8%",".123",".279",".249",".308",".372",".301","","86","6.2","-89.7","58.8","19.2"
"1929","DET","1768","6252","110","927","851","95","8.2%","7.9%",".154",".313",".299",".360",".453",".369","","104","-17.7","12.0","-33.3","19.2"
"1911","CHW","1667","5854","20","718","593","201","6.6%","",".081","",".269",".325",".350",".326","","91","-1.0","-66.2","49.0","19.2"
"1979","DET","1755","6081","164","770","729","176","9.5%","13.4%",".146",".288",".269",".339",".415",".337","","101","2.3","9.1","-22.4","19.2"
"1981","DET","1235","4109","65","427","403","61","9.8%","12.2%",".111",".279",".256",".331",".368",".320","","102","-1.4","9.3","47.3","19.2"
"1900","BSN","1382","5499","48","778","676","182","7.2%","",".089","",".283",".342",".373",".343","","92","-6.9","-66.4","61.5","19.2"
"1992","CLE","1723","6201","127","674","637","144","7.2%","14.3%",".117",".294",".266",".323",".383",".319","","98","1.6","-15.1","-0.6","19.2"
"2016","LAA","2419","6041","156","717","686","73","7.8%","16.4%",".145",".289",".260",".322",".405",".314","","99","-16.8","-27.4","6.4","19.2"
"1979","CHW","1812","6056","127","730","680","97","7.5%","11.0%",".135",".292",".275",".333",".410",".331","","100","-3.8","-2.9","-9.6","19.2"
"2005","TOR","2281","6233","136","775","735","72","7.8%","15.3%",".142",".296",".265",".331",".407",".323","","94","12.3","-33.2","13.6","19.1"
"1914","BSN","1727","5979","35","657","572","139","8.4%","10.3%",".084",".279",".251",".323",".335",".322","","90","10.0","-52.5","62.3","19.1"
"1902","PHA","1276","5261","38","775","673","201","6.5%","",".101","",".287",".340",".389",".349","","98","6.3","-4.5","-2.1","19.1"
"1912","DET","1570","5885","19","721","569","270","9.0%","",".081","",".267",".343",".349",".337","","96","9.3","-18.3","10.1","19.1"
"1915","CIN","1778","5836","15","516","425","156","6.2%","8.8%",".078",".278",".253",".308",".331",".311","","91","-23.3","-75.8","52.0","19.1"
"2002","FLA","2319","6263","146","699","653","177","9.5%","18.0%",".142",".301",".261",".337",".403",".323","","97","5.4","-14.7","1.7","19.1"
"1990","TEX","2033","6177","110","676","641","115","9.3%","17.1%",".117",".300",".259",".331",".376",".319","","98","1.5","-9.3","-1.8","19.1"
"2016","TBR","2281","6046","216","672","647","60","7.4%","24.5%",".182",".293",".243",".307",".426",".315","","98","-0.4","-13.0","-9.0","19.1"
"1901","DET","1281","5245","29","742","611","204","7.2%","",".091","",".279",".340",".370",".338","","97","4.3","-16.9","23.4","19.1"
"1990","CHW","1768","6038","106","682","637","140","7.9%","15.0%",".122",".290",".258",".320",".379",".314","","94","-9.8","-49.7","45.3","19.1"
"2015","CLE","2285","6109","141","669","640","86","8.7%","18.9%",".144",".299",".256",".325",".401",".315","","97","8.1","-15.6","-4.5","19.1"
"2008","BAL","2340","6211","172","782","750","81","8.6%","15.9%",".162",".296",".267",".333",".429",".333","","99","-5.1","-17.0","-7.7","19.0"
"1937","WAS","1681","6259","47","757","691","61","9.4%","8.1%",".099",".301",".279",".351",".379",".341","","90","-7.1","-99.6","66.9","19.0"
"1977","STL","2228","6136","96","737","686","134","8.0%","13.4%",".118",".301",".270",".330",".388",".318","","91","-14.2","-80.3","68.7","19.0"
"1999","KCR","1865","6325","151","856","800","127","8.5%","14.7%",".151",".312",".282",".348",".433",".342","","94","7.9","-40.4","16.7","19.0"
"1996","SFG","2285","6316","153","752","707","113","9.7%","18.8%",".135",".295",".253",".331",".388",".317","","92","-2.8","-67.8","71.7","19.0"
"1906","PHA","1478","5475","32","555","489","165","7.0%","",".083","",".247",".308",".330",".314","","98","-2.3","-15.2","3.6","19.0"
"1975","CLE","1750","6059","153","688","643","106","8.7%","11.0%",".131",".272",".261",".327",".392",".329","","104","-12.2","13.5","-29.5","19.0"
"1986","STL","2118","6122","58","601","550","262","9.3%","14.8%",".090",".272",".236",".309",".327",".286","","76","20.6","-151.7","141.0","19.0"
"1982","PHI","2137","6109","112","664","624","128","8.3%","13.6%",".116",".287",".260",".323",".376",".312","","93","-4.3","-50.9","28.2","19.0"
"2009","TEX","2158","6127","224","784","748","149","7.7%","20.5%",".185",".296",".260",".320",".445",".331","","92","9.1","-49.8","24.6","19.0"
"1985","MON","2217","6053","118","633","593","169","8.1%","14.5%",".128",".273",".247",".310",".375",".303","","92","1.4","-56.4","42.2","19.0"
"1977","CHW","1706","6322","192","844","809","42","8.8%","10.5%",".166",".284",".278",".344",".444",".346","","112","-4.2","86.8","-116.7","19.0"
"2011","PHI","2203","6279","153","713","693","96","8.6%","16.3%",".142",".283",".253",".323",".395",".315","","96","3.5","-29.5","17.9","19.0"
"1911","CIN","1742","6089","21","682","595","290","9.5%","9.8%",".086",".290",".261",".337",".346",".333","","94","13.0","-31.0","17.2","18.9"
"1932","CLE","1569","6121","78","845","786","52","9.2%","7.4%",".128",".300",".285",".357",".413",".352","","95","-14.5","-58.4","33.4","18.9"
"1890","TOL","1229","5132","24","739","512","421","9.5%","",".096","",".252",".333",".348",".334","","99","29.3","20.8","26.5","18.9"
"1890","STL","1281","5369","48","870","634","307","8.8%","",".098","",".273",".350",".370",".351","","103","0.6","24.1","15.9","18.9"
"1947","PHA","1713","5971","61","633","581","37","10.1%","9.4%",".097",".273",".252",".333",".349",".324","","90","-7.0","-79.1","74.2","18.9"
"1945","BOS","1776","6018","50","599","559","72","9.0%","8.9%",".086",".281",".260",".330",".346",".326","","93","-8.2","-56.0","48.5","18.9"
"2002","TOR","2236","6230","187","813","771","71","8.4%","18.3%",".169",".295",".261",".327",".430",".329","","97","11.5","-15.5","-7.8","18.9"
"1916","CIN","1709","5783","14","505","422","157","6.3%","9.9%",".077",".283",".254",".307",".331",".311","","95","7.1","-21.4","2.5","18.9"
"2009","COL","2352","6241","190","804","760","106","10.6%","20.5%",".180",".305",".261",".343",".441",".341","","96","5.3","-29.7","22.8","18.9"
"1953","NYG","1937","5956","176","768","739","31","8.4%","10.2%",".152",".279",".271",".336",".422",".345","","95","2.6","-33.5","31.6","18.9"
"1932","NYG","1821","5950","116","755","718","31","5.8%","6.6%",".130",".281",".276",".322",".406",".330","","97","5.2","-20.7","24.9","18.9"
"1937","CHW","1638","5956","67","780","726","70","9.2%","7.5%",".120",".296",".280",".350",".400",".348","","87","-4.5","-112.4","87.9","18.8"
"1903","CIN","1326","5386","28","764","652","144","7.5%","",".102","",".288",".346",".390",".350","","100","-9.2","-12.5","-2.1","18.8"
"2005","BAL","2323","6134","189","729","700","83","7.3%","14.7%",".165",".289",".269",".327",".434",".330","","101","-9.5","-0.6","-18.7","18.8"
"1888","BSN","1243","5148","56","669","535","293","5.5%","10.2%",".106",".265",".245",".291",".351",".302","","97","-5.2","-23.7","18.9","18.8"
"1935","CLE","1723","6097","93","776","737","63","7.5%","9.3%",".137",".304",".284",".341",".421",".349","","94","-13.1","-61.6","48.6","18.8"
"2016","PIT","2458","6261","153","729","696","110","9.0%","21.3%",".144",".311",".257",".332",".402",".318","","97","-6.7","-26.5","15.6","18.8"
"1960","LAD","1996","5935","126","662","606","95","8.9%","14.1%",".128",".280",".255",".324",".383",".317","","89","0.0","-76.4","65.5","18.8"
"2017","LAA","2392","6073","186","710","678","136","8.6%","19.7%",".155",".277",".243",".315",".397",".307","","92","1.4","-61.3","42.6","18.8"
"1944","NYG","1885","5952","93","682","644","39","8.6%","8.1%",".106",".276",".263",".330",".370",".333","","95","4.4","-31.1","27.4","18.8"
"1887","BSN","1155","4908","53","831","649","373","6.9%","8.0%",".117",".294",".277",".333",".394",".338","","104","-0.6","28.5","16.3","18.8"
"2014","KCR","2273","6058","95","651","604","153","6.3%","16.3%",".113",".302",".263",".314",".376",".306","","92","4.8","-47.8","28.1","18.8"
"1910","PHI","1645","5925","22","674","565","199","8.5%","9.4%",".083",".283",".255",".327",".338",".328","","93","-2.1","-47.0","16.4","18.8"
"1922","CLE","1787","6089","32","767","698","90","9.0%","5.5%",".106",".307",".292",".364",".398",".357","","99","7.0","-0.5","-2.6","18.8"
"1991","MIL","1638","6311","116","799","750","106","8.8%","12.7%",".125",".296",".271",".336",".396",".328","","104","-5.9","25.6","-49.4","18.8"
"1898","NYG","1456","5907","34","837","712","214","7.2%","",".087","",".266",".328",".353",".333","","97","8.9","-15.5","-5.4","18.8"
"1917","PHI","1614","5725","38","578","526","109","7.6%","9.3%",".090",".271",".248",".310",".339",".317","","95","-6.8","-36.9","21.8","18.8"
"1899","CIN","1475","5909","13","856","699","228","8.2%","",".085","",".275",".345",".360",".342","","93","0.9","-58.1","32.3","18.7"
"1983","PIT","2110","6176","121","659","612","124","8.0%","14.1%",".119",".293",".264",".325",".383",".316","","94","-6.6","-49.1","29.1","18.7"
"2021","SDP","2497","6119","180","729","695","110","9.6%","21.6%",".159",".287",".242",".321",".401",".312","","97","0.7","-20.4","5.1","18.7"
"1923","WAS","1690","6053","26","719","626","102","8.7%","7.4%",".093",".296",".274",".346",".367",".338","","93","7.4","-52.3","45.1","18.7"
"1908","WAS","1631","5648","8","479","378","170","6.5%","",".060","",".235",".293",".296",".290","","96","-0.2","-24.2","6.5","18.7"
"1918","CLE","1351","4866","9","505","423","165","10.1%","7.9%",".081",".285",".260",".344",".341",".339","","103","5.6","21.7","-18.0","18.7"
"1972","ATL","1891","5938","144","628","593","47","9.0%","13.0%",".124",".277",".258",".328",".382",".325","","96","-1.7","-25.0","-12.1","18.7"
"1945","DET","1754","5885","77","633","588","60","8.8%","9.1%",".105",".273",".256",".324",".361",".328","","93","-11.9","-55.4","50.2","18.7"
"1965","DET","2005","6064","162","680","635","57","9.1%","15.7%",".136",".260",".238",".312",".374",".307","","94","-3.7","-47.2","40.3","18.7"
"2021","PHI","2394","6089","198","734","700","77","9.3%","23.0%",".168",".286",".240",".318",".408",".313","","93","7.8","-47.8","32.6","18.6"
"1975","NYM","2054","6239","101","646","604","32","8.0%","12.9%",".105",".282",".256",".319",".361",".311","","92","-2.6","-58.3","33.5","18.6"
"1996","NYY","1735","6414","162","871","830","96","9.9%","14.2%",".148",".315",".288",".360",".436",".348","","103","-3.2","23.5","-66.6","18.6"
"1997","KCR","1929","6295","158","747","711","130","8.9%","16.9%",".143",".299",".264",".333",".407",".327","","92","-2.0","-66.0","33.8","18.6"
"2013","SDP","2359","6122","146","618","578","118","7.6%","21.4%",".133",".294",".245",".308",".378",".302","","94","8.8","-35.4","24.4","18.6"
"1925","CIN","1728","5838","44","690","624","108","7.0%","5.6%",".102",".297",".285",".339",".387",".337","","88","-14.0","-108.8","96.6","18.6"
"2002","HOU","2342","6252","167","749","719","71","9.4%","17.9%",".156",".300",".262",".338",".417",".329","","94","-6.2","-50.9","33.4","18.6"
"1879","BSN","759","3307","20","562","393","","2.7%","6.7%",".093",".290",".274",".294",".368",".298","","114","0.0","63.8","23.9","18.6"
"2016","COL","2369","6236","204","845","805","66","7.9%","21.3%",".182",".326",".275",".336",".457",".339","","94","1.1","-45.0","32.2","18.5"
"1914","WAS","1711","5802","18","572","470","220","8.1%","11.0%",".077",".276",".244",".313",".320",".310","","90","-32.4","-92.3","44.3","18.5"
"2011","ATL","2322","6169","173","641","606","77","8.2%","20.4%",".144",".284",".243",".308",".387",".306","","91","-4.8","-70.5","57.9","18.5"
"1918","NYG","1333","4589","13","480","400","130","5.9%","8.0%",".071",".282",".260",".310",".330",".314","","98","2.6","-8.9","34.3","18.5"
"1959","BOS","2012","5985","125","726","678","68","10.5%","13.5%",".130",".279",".256",".335",".385",".324","","93","5.7","-43.7","52.3","18.5"
"1891","BAL","1281","5433","30","850","643","342","10.1%","10.2%",".090",".283",".255",".346",".345",".342","","97","13.2","-10.0","-11.2","18.5"
"1972","BOS","1864","5871","124","640","594","66","8.9%","14.6%",".128",".273",".248",".318",".376",".317","","100","3.7","6.1","-12.5","18.5"
"2008","FLA","2361","6206","208","770","741","76","8.7%","22.1%",".179",".300",".254",".326",".433",".330","","96","5.7","-27.5","14.2","18.5"
"2003","TOR","2278","6364","190","894","853","37","8.6%","17.0%",".175",".313",".279",".349",".455",".347","","108","-5.7","56.6","-88.7","18.4"
"1904","PHA","1466","5578","31","557","486","137","5.6%","",".087","",".249",".298",".336",".305","","97","-5.2","-21.4","7.1","18.4"
"1904","CIN","1485","5811","21","692","561","179","6.9%","",".083","",".255",".313",".338",".314","","92","-0.9","-50.3","20.5","18.4"
"2004","TEX","2240","6256","227","860","825","69","8.0%","17.6%",".191",".291",".266",".329",".457",".336","","95","18.0","-25.9","1.3","18.4"
"1993","MON","2314","6233","122","732","682","228","8.7%","13.8%",".129",".282",".257",".326",".386",".316","","90","23.6","-53.2","16.8","18.4"
"1922","CHC","1749","6092","42","771","667","97","8.6%","7.3%",".097",".314",".293",".359",".390",".351","","93","-13.2","-69.6","34.6","18.4"
"1986","MON","2219","6174","110","637","602","193","8.7%","16.5%",".124",".292",".254",".322",".379",".311","","94","0.0","-45.0","22.3","18.3"
"1908","BOS","1592","5579","14","563","444","167","5.2%","",".066","",".245",".295",".312",".298","","95","-0.7","-25.8","7.5","18.3"
"1976","SDP","2129","6050","64","570","528","92","8.1%","11.8%",".090",".273",".247",".310",".337",".299","","89","-0.2","-72.5","47.5","18.3"
"1998","CIN","2270","6269","138","750","723","95","9.7%","17.7%",".140",".303",".262",".337",".402",".326","","92","0.6","-63.1","52.5","18.3"
"1999","SEA","1915","6310","244","859","825","130","9.7%","17.4%",".186",".293",".269",".343",".455",".346","","105","5.8","47.4","-71.7","18.3"
